date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,2417752.52100000,5999908731.56762900
2026-08-26,2392855.51900000,5842683177.85268000
2026-08-27,2444951.30000000,6126447788.58737850
2026-08-28,2390486.48600000,5999448926.95759900
2026-08-29,2359771.86600000,5762561488.22417400
2026-08-30,2348959.30000000,5769490343.06700000
2026-08-31,2313942.54000000,5590694776.79479300
2026-09-01,2346352.49000000,5787583442.40870000
2026-09-02,2326809.82300000,5625019042.74993500
2026-09-03,2308399.93800000,5519822847.74622000
2026-09-04,2308924.04400000,5787133402.36248000
2026-09-05,2249401.42800000,5521290769.11168000
2026-09-06,2286235.76100000,5668218597.53208000
2026-09-07,2289985.72600000,5756937281.17235600
2026-09-08,2281393.67000000,5677932565.89600000
2026-09-09,2251623.59800000,5592763410.85942100
2026-09-10,2257360.31400000,5569532011.01717900
2026-09-11,2314811.05000000,5640777862.86100000
2026-09-12,2322725.48600000,5843053436.20673400
2026-09-13,2319327.72600000,5855887977.14082600
2026-09-14,2326658.01400000,5760004313.18799700
2026-09-15,2318228.03100000,5830204404.28314000
2026-09-16,2314780.32000000,5548945087.49760000
2026-09-17,2307460.44700000,5578262556.01803000
2026-09-18,2285408.01100000,5591095641.22269700
2026-09-19,2357864.50600000,6156737904.84190000
2026-09-20,2365446.47000000,6224910599.10890300
2026-09-21,2346233.52800000,6203437446.69495400
2026-09-22,2328934.44200000,6462319021.03604600
2026-09-23,2310500.28000000,6360044805.74760000
2026-09-24,2297741.38900000,6166442402.72627800
2026-09-25,2269582.54300000,6097551243.32552000
