date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,158260274.00000000,7435067.67252000
2026-08-26,156147121.00000000,7176615.36943260
2026-08-27,160715456.00000000,7542066.16924992
2026-08-28,168236372.00000000,8124134.40388000
2026-08-29,161050832.00000000,7436270.92830208
2026-08-30,159436117.00000000,7269518.45311606
2026-08-31,151133174.00000000,6640279.32410014
2026-09-01,147357275.00000000,6542458.18338775
2026-09-02,162289559.00000000,7605210.06806682
2026-09-03,175374983.00000000,8603491.54976927
2026-09-04,178473392.00000000,8793782.01950416
2026-09-05,169831494.00000000,7956605.49390000
2026-09-06,178248667.00000000,8512052.97667127
2026-09-07,173685668.00000000,8579681.20644700
2026-09-08,178992992.00000000,8752300.87667040
2026-09-09,183823150.00000000,9102922.38800000
2026-09-10,176277760.00000000,8347964.72698880
2026-09-11,173679550.00000000,7685320.08750000
2026-09-12,179495837.00000000,7987979.38188347
2026-09-13,182861257.00000000,8119438.44834026
2026-09-14,174781325.00000000,7750485.59766750
2026-09-15,173419170.00000000,7734494.98200000
2026-09-16,163019236.00000000,6854958.87380000
2026-09-17,177497458.00000000,7655465.36354000
2026-09-18,179135399.00000000,7890914.32595000
2026-09-19,198153279.00000000,9528531.33669093
2026-09-20,204417521.00000000,10115648.04271483
2026-09-21,228819271.00000000,12207263.27123003
2026-09-22,243456980.00000000,14449171.76300000
2026-09-23,236148139.00000000,14538516.85308836
2026-09-24,213641123.00000000,12610833.84537876
