date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,120918614.70000000,13026575.66267862
2026-08-26,122276295.90000000,12401995.58795340
2026-08-27,130148670.70000000,12874306.50564400
2026-08-28,146886481.90000000,14272959.44622300
2026-08-29,157648042.60000000,14189112.07421300
2026-08-30,162230424.30000000,14376860.20146600
2026-08-31,158879785.40000000,13733268.36718159
2026-09-01,175519175.50000000,16414553.29276000
2026-09-02,165820716.10000000,15780043.23602481
2026-09-03,165520296.10000000,16412992.56127600
2026-09-04,159595762.60000000,16142171.36794829
2026-09-05,153100916.60000000,15017668.90929400
2026-09-06,157162496.20000000,16896539.96646200
2026-09-07,157168506.30000000,17316826.02413400
2026-09-08,151455162.80000000,16719135.42149200
2026-09-09,155392410.40000000,16353497.27049600
2026-09-10,147017749.40000000,14626562.12958445
2026-09-11,147939179.10000000,13872256.82420700
2026-09-12,145619337.40000000,13904092.55852201
2026-09-13,149793194.70000000,14326660.03516847
2026-09-14,151677406.80000000,14360967.03645673
2026-09-15,142580082.20000000,14573238.52373598
2026-09-16,142650884.70000000,13359019.97819524
2026-09-17,145229901.20000000,13911763.93941758
2026-09-18,147072765.60000000,14852878.59794400
2026-09-19,159660444.60000000,19247066.59653000
2026-09-20,158446102.00000000,19265461.54218000
2026-09-21,160328233.40000000,20041452.44153618
2026-09-22,161709458.50000000,20599642.36257488
2026-09-23,145250002.20000000,19649420.29761600
2026-09-24,150068540.90000000,18438490.92367062
