date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,418530.38700000,17415108.80508783
2026-08-26,362709.70600000,13743070.76034000
2026-08-27,362292.65700000,14219986.78725000
2026-08-28,346017.87400000,13684829.93547781
2026-08-29,327723.95300000,12610817.71144000
2026-08-30,350703.12000000,14470010.73120000
2026-08-31,384797.99500000,16070899.70630947
2026-09-01,423588.00900000,19006393.96383000
2026-09-02,354177.31300000,15535929.56195169
2026-09-03,332300.61800000,14175893.92064619
2026-09-04,412805.83900000,19575305.48510001
2026-09-05,516450.83300000,32287934.32160730
2026-09-06,569170.47500000,37263590.99825000
2026-09-07,592818.04100000,42232385.50640419
2026-09-08,538577.35900000,33828043.91879000
2026-09-09,541190.86600000,33797369.58170000
2026-09-10,496893.17800000,29117940.23080000
2026-09-11,545104.73300000,29437466.83965367
2026-09-12,499992.20000000,28434556.41400000
2026-09-13,493904.49200000,27021514.75732000
2026-09-14,493390.90600000,26129982.38176000
2026-09-15,483228.76000000,25983210.42520000
2026-09-16,473551.22900000,23864748.64559096
2026-09-17,476139.78400000,26706680.48456000
2026-09-18,485739.79500000,29649557.08680000
2026-09-19,504433.37400000,32075616.06799369
2026-09-20,497385.10900000,29171636.64285000
2026-09-21,498364.30400000,28685849.33824000
2026-09-22,476883.92900000,28209283.38262626
2026-09-23,547987.04600000,35181945.86776444
2026-09-24,491616.57900000,28311508.12231049
2026-09-25,486172.73700000,30903918.72021543
