date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,422822282.00000000,93612853.23480000
2026-08-26,404065134.00000000,84449613.00600000
2026-08-27,400051294.00000000,84895197.13974932
2026-08-28,407014828.00000000,86938367.26080000
2026-08-29,382643037.00000000,77676536.51100000
2026-08-30,392323928.00000000,79104783.62374640
2026-08-31,376041947.00000000,72422922.60472849
2026-09-01,375409516.00000000,74256002.26480000
2026-09-02,370014541.00000000,72717821.79808913
2026-09-03,376303699.00000000,75637043.49900000
2026-09-04,402894343.00000000,89106900.92673355
2026-09-05,385938180.00000000,81510143.61600000
2026-09-06,385222246.00000000,84041398.79521886
2026-09-07,384608656.00000000,85921573.75040000
2026-09-08,379753650.00000000,83697704.46000000
2026-09-09,379061745.00000000,83128240.67850000
2026-09-10,370603091.00000000,78530794.98290000
2026-09-11,373327672.00000000,76382841.69120000
2026-09-12,375466098.00000000,77421109.40760000
2026-09-13,371871651.00000000,77051806.08720000
2026-09-14,370729351.00000000,75390108.34053269
2026-09-15,374537184.00000000,78064916.34913440
2026-09-16,374533810.00000000,73126074.70839790
2026-09-17,394907150.00000000,77520273.54500000
2026-09-18,387980523.00000000,78600729.72684051
2026-09-19,402713429.00000000,90435965.38919996
2026-09-20,416122405.00000000,94834296.09950000
2026-09-21,399703579.00000000,91087729.15186780
2026-09-22,413437444.00000000,101370086.06632180
2026-09-23,436392461.00000000,110919272.63216981
2026-09-24,402691992.00000000,95940843.59441040
2026-09-25,399965011.00000000,99016801.99510026
