date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,29225968.00000000,2648457.22016000
2026-08-26,28788049.00000000,2560409.07806000
2026-08-27,28799665.00000000,2590630.37758085
2026-08-28,28946321.00000000,2631799.50532000
2026-08-29,27868301.00000000,2453107.19552500
2026-08-30,27892098.00000000,2459060.24036634
2026-08-31,28273466.00000000,2466876.87257960
2026-09-01,29296512.00000000,2594362.28800896
2026-09-02,30742713.00000000,2720385.16726014
2026-09-03,31008563.00000000,2701373.91312789
2026-09-04,31917547.00000000,2934699.39419969
2026-09-05,32034159.00000000,2902012.58445921
2026-09-06,33788865.00000000,3199951.48339680
2026-09-07,33247112.00000000,3244253.18896000
2026-09-08,31567824.00000000,2961359.89145856
2026-09-09,31012246.00000000,2867392.26516000
2026-09-10,30337500.00000000,2746757.25000000
2026-09-11,29424757.00000000,2588201.62572000
2026-09-12,29256212.00000000,2633780.53818792
2026-09-13,29181709.00000000,2679756.33747000
2026-09-14,28800297.00000000,2623896.56265426
2026-09-15,28186824.00000000,2628703.20624000
2026-09-16,30310416.00000000,2644886.90016000
2026-09-17,30334683.00000000,2697360.01236000
2026-09-18,29880908.00000000,2717272.36175992
2026-09-19,31636299.00000000,3072517.35888000
2026-09-20,32406491.00000000,3193335.62314000
2026-09-21,32003656.00000000,3151572.50602584
2026-09-22,31837445.00000000,3287267.77291090
2026-09-23,33491019.00000000,3488318.70741996
2026-09-24,32465704.00000000,3183586.93424000
2026-09-25,33525335.00000000,3360579.58040000
