date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,27039748.20000000,16432086.61764539
2026-08-26,28419812.90000000,15963408.90593000
2026-08-27,30235575.80000000,17270182.95226250
2026-08-28,30325727.00000000,17379674.14370000
2026-08-29,30628897.90000000,16484472.84978000
2026-08-30,31794617.60000000,17254938.97152000
2026-08-31,30984551.70000000,16043576.23226018
2026-09-01,33787154.00000000,18108746.18421468
2026-09-02,33459532.60000000,18269462.57000844
2026-09-03,34290729.60000000,20085975.23243770
2026-09-04,33602415.50000000,20255620.06943875
2026-09-05,34133868.30000000,19797643.61400000
2026-09-06,35020305.70000000,21498965.66923000
2026-09-07,31459890.40000000,19645839.23920414
2026-09-08,29609528.40000000,18950098.17600000
2026-09-09,30182940.40000000,19541046.81950310
2026-09-10,30078083.90000000,18873997.64725000
2026-09-11,30240613.60000000,19394946.05496780
2026-09-12,29985787.50000000,17880525.08625000
2026-09-13,30121196.50000000,18092184.92808599
2026-09-14,30655558.40000000,18015768.30741107
2026-09-15,30950577.20000000,18236080.08624000
2026-09-16,30182861.90000000,16513043.74549000
2026-09-17,33006521.00000000,18302643.99883600
2026-09-18,31934467.80000000,19090424.85084000
2026-09-19,34515818.10000000,25248597.06669480
2026-09-20,33977304.40000000,24633598.35482182
2026-09-21,33334921.20000000,24669175.08484800
2026-09-22,37993809.30000000,30182772.98793616
2026-09-23,36681744.30000000,30438511.42014000
2026-09-24,33933448.70000000,25576991.85445172
2026-09-25,35968022.60000000,29094533.48114000
2026-09-26,37116116.80000000,32365253.84960000
