date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,3780204.40000000,21516923.44480000
2026-08-26,3910496.90000000,21765825.74540000
2026-08-27,3562031.30000000,19772835.74630000
2026-08-28,3576665.30000000,19645240.89862791
2026-08-29,3494396.90000000,17985660.84430000
2026-08-30,3457397.20000000,17856083.88216366
2026-08-31,3357552.30000000,16739478.08484776
2026-09-01,3393434.70000000,16729782.58573288
2026-09-02,3476512.50000000,16697226.32697450
2026-09-03,3493762.90000000,16650771.78792075
2026-09-04,3500212.30000000,17395867.86964195
2026-09-05,3817978.40000000,18353022.16880000
2026-09-06,3974306.70000000,19629100.79130000
2026-09-07,3964116.90000000,21011012.76918690
2026-09-08,4731046.20000000,29244582.08766922
2026-09-09,5181838.80000000,33170931.90123067
2026-09-10,5114442.90000000,31365112.80001092
2026-09-11,5050544.70000000,30000436.47917361
2026-09-12,4820576.10000000,27642914.18524871
2026-09-13,4835342.30000000,28949944.79522496
2026-09-14,4664744.70000000,27521993.73000000
2026-09-15,5031720.10000000,31599202.22800000
2026-09-16,4503246.30000000,24461633.90160000
2026-09-17,4295130.70000000,23228066.82560000
2026-09-18,4158532.00000000,23786803.04000000
2026-09-19,4367061.10000000,29158866.96470000
2026-09-20,4835277.80000000,38319576.56500000
2026-09-21,4369284.50000000,34006497.70972951
2026-09-22,4549766.40000000,35732422.80216288
2026-09-23,4343052.50000000,34324623.62891728
2026-09-24,4222311.90000000,32948949.61459592
2026-09-25,4490248.50000000,36115068.68550000
2026-09-26,4359608.50000000,35689266.35209435
