date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,94774097.00000000,2613459.22341999
2026-08-26,98850861.00000000,2575064.92905000
2026-08-27,97220120.00000000,2625915.44120000
2026-08-28,97714301.00000000,2588986.33071647
2026-08-29,95637108.00000000,2414836.97700000
2026-08-30,97388636.00000000,2441533.10452000
2026-08-31,99180348.00000000,2369520.66947844
2026-09-01,100037432.00000000,2449337.49294872
2026-09-02,100027115.00000000,2455107.52194830
2026-09-03,99209433.00000000,2441923.12616406
2026-09-04,101028292.00000000,2633302.43098000
2026-09-05,114437511.00000000,3362384.63820024
2026-09-06,111311852.00000000,3042152.91516000
2026-09-07,105376775.00000000,2882054.79625000
2026-09-08,95539697.00000000,2628591.32673676
2026-09-09,93924710.00000000,2550055.87650000
2026-09-10,87262070.00000000,2288902.42113470
2026-09-11,90451778.00000000,2297475.16120000
2026-09-12,91085630.00000000,2352741.82290000
2026-09-13,90757272.00000000,2412851.05164672
2026-09-14,89943747.00000000,2377213.23321000
2026-09-15,90813307.00000000,2332993.85683000
2026-09-16,93134138.00000000,2298995.70701964
2026-09-17,96173886.00000000,2370301.59435600
2026-09-18,95819929.00000000,2480466.54704075
2026-09-19,96904807.00000000,2665851.24057000
2026-09-20,101083577.00000000,2788895.88943000
2026-09-21,102450661.00000000,2793109.29732317
2026-09-22,107034543.00000000,3030345.92623455
2026-09-23,106428602.00000000,3113036.60850000
2026-09-24,104460955.00000000,2858260.65071000
