date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,8892701.00000000,15735634.41950000
2026-08-26,8900740.00000000,15251417.99000000
2026-08-27,8960116.00000000,15716043.46400000
2026-08-28,8963474.00000000,15973762.01876052
2026-08-29,9052274.00000000,15383434.43560000
2026-08-30,8963141.00000000,15228376.55900000
2026-08-31,9353697.00000000,16044448.84480320
2026-09-01,8984446.00000000,15781179.39900000
2026-09-02,9171104.00000000,16724386.91918528
2026-09-03,9244354.00000000,17100206.02920000
2026-09-04,9702382.00000000,19102495.11795762
2026-09-05,9683789.00000000,18608368.94240000
2026-09-06,9902910.00000000,19971434.38528710
2026-09-07,9981361.00000000,21021559.94654872
2026-09-08,10277221.00000000,22918202.83000000
2026-09-09,9945769.00000000,21212336.12320000
2026-09-10,9752300.00000000,19520071.53633500
2026-09-11,10047514.00000000,19766880.21176560
2026-09-12,10074845.00000000,20255434.06189325
2026-09-13,10538251.00000000,23096684.71670000
2026-09-14,10327154.00000000,21550580.11190814
2026-09-15,10956228.00000000,25897605.23892132
2026-09-16,11128864.00000000,25181212.79801824
2026-09-17,10919937.00000000,25429257.29190000
2026-09-18,10772772.00000000,25300932.31920000
2026-09-19,11257028.00000000,29102523.75687660
2026-09-20,11142324.00000000,29102636.05560000
2026-09-21,11067358.00000000,30006355.56299140
2026-09-22,10800967.00000000,27196867.20089133
2026-09-23,9701574.00000000,24362118.12481566
2026-09-24,9497334.00000000,23424067.96656234
2026-09-25,8767639.00000000,22728350.57970000
2026-09-26,8623294.00000000,21997160.66460000
