date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,19791110.10000000,1536160.43542997
2026-08-26,18848699.00000000,1422519.04149659
2026-08-27,19522821.70000000,1516806.69484445
2026-08-28,19074761.10000000,1467993.61425600
2026-08-29,19108195.20000000,1422767.55229920
2026-08-30,19519225.40000000,1439061.33395938
2026-08-31,19105113.30000000,1382025.11274200
2026-09-01,18324164.50000000,1350040.69892824
2026-09-02,17683487.70000000,1291601.58793825
2026-09-03,18798291.80000000,1464386.93122000
2026-09-04,19393668.20000000,1488546.84531321
2026-09-05,18776938.20000000,1408191.12632080
2026-09-06,19147789.90000000,1510186.18941300
2026-09-07,18272907.20000000,1463784.85340525
2026-09-08,18132066.10000000,1422823.22686700
2026-09-09,18199849.30000000,1427604.55102268
2026-09-10,17285231.50000000,1327440.95958188
2026-09-11,17052468.80000000,1242783.92614400
2026-09-12,16761536.60000000,1253762.93768000
2026-09-13,18099500.40000000,1434928.39171200
2026-09-14,17786779.50000000,1455847.90207500
2026-09-15,18581733.70000000,1484766.18442236
2026-09-16,18103783.80000000,1447578.55264800
2026-09-17,18336480.00000000,1436663.20800000
2026-09-18,18646011.20000000,1480298.81138318
2026-09-19,18489077.60000000,1554561.64460800
2026-09-20,20001344.30000000,1829277.74663988
2026-09-21,20012159.30000000,1804598.86633662
2026-09-22,20779497.50000000,1988597.91075000
2026-09-23,19955256.70000000,1918697.93170500
2026-09-24,20493660.70000000,1826266.95620463
2026-09-25,19658941.60000000,1809802.16369600
