date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,131760795.00000000,22892198.26216905
2026-08-26,132413808.00000000,21517243.80000000
2026-08-27,128952347.00000000,21737819.51465750
2026-08-28,131722749.00000000,21628875.38580000
2026-08-29,135785822.00000000,20359583.57556690
2026-08-30,139441369.00000000,20827897.13101230
2026-08-31,140835506.00000000,20889430.65251518
2026-09-01,143709054.00000000,22059339.78900000
2026-09-02,144195002.00000000,22306966.80940000
2026-09-03,144910395.00000000,22017786.85357650
2026-09-04,142140484.00000000,22358698.13320000
2026-09-05,143992067.00000000,22318770.38500000
2026-09-06,146546498.00000000,24114624.85237456
2026-09-07,145311595.00000000,25427797.01078760
2026-09-08,152405664.00000000,27905012.24112480
2026-09-09,150803630.00000000,27008930.13300000
2026-09-10,146010860.00000000,24763441.85600000
2026-09-11,148051961.00000000,23991673.70860861
2026-09-12,143741346.00000000,23896236.94336620
2026-09-13,143018067.00000000,23884017.18900000
2026-09-14,147185545.00000000,24417097.24420395
2026-09-15,142755922.00000000,23268692.79932548
2026-09-16,153299622.00000000,23108362.02533670
2026-09-17,151060838.00000000,23852506.32020000
2026-09-18,149121266.00000000,25962012.41060000
2026-09-19,146301107.00000000,27123679.53467089
2026-09-20,155063779.00000000,27417433.06436589
2026-09-21,158828648.00000000,27871336.91850992
2026-09-22,156651473.00000000,32132597.65108734
2026-09-23,148191694.00000000,31092248.99175094
2026-09-24,143470460.00000000,27847616.28600000
2026-09-25,148809892.00000000,34054801.52144840
2026-09-26,145106617.00000000,35797802.41390000
