date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,1211664.11100000,62560522.58760256
2026-08-26,1187934.18600000,59325433.24884000
2026-08-27,1209834.18500000,61096626.34250000
2026-08-28,1238635.14400000,61797972.46582359
2026-08-29,1194540.58200000,58890850.69260000
2026-08-30,1198936.19400000,58723166.02074384
2026-08-31,1180872.40000000,56583596.51588252
2026-09-01,1186870.02900000,57598802.50737000
2026-09-02,1211956.57900000,60040328.92366000
2026-09-03,1256428.23600000,62385739.15266864
2026-09-04,1268038.73300000,65278633.97484000
2026-09-05,1255843.42200000,63722641.54103874
2026-09-06,1413634.29500000,77273865.67071924
2026-09-07,1405732.98300000,77223813.10579832
2026-09-08,1418916.44200000,78282329.56336100
2026-09-09,1401889.48400000,76066770.79327725
2026-09-10,1321242.77900000,70263509.64664859
2026-09-11,1293066.06500000,67355811.32585000
2026-09-12,1256986.71300000,66931929.90835610
2026-09-13,1260348.30500000,67592479.59715000
2026-09-14,1270979.48100000,68284070.40987965
2026-09-15,1283007.99100000,68127724.32210000
2026-09-16,1233592.43300000,63209276.26692000
2026-09-17,1258435.57400000,65002922.69683681
2026-09-18,1300101.27800000,70088459.89698000
2026-09-19,1396993.46100000,81262698.74265325
2026-09-20,1448885.61800000,84437502.62736799
2026-09-21,1439288.33000000,84520640.88811776
2026-09-22,1546490.20200000,95851523.37330572
2026-09-23,1569605.68500000,98806677.87075000
2026-09-24,1506491.18000000,93106014.09623618
2026-09-25,1713560.43800000,123239266.70096000
2026-09-26,1725241.27100000,125169620.12226489
