date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,87491990.00000000,2586263.22440000
2026-08-26,84185373.20000000,2460738.45863600
2026-08-27,86451179.80000000,2547373.05752219
2026-08-28,87557366.20000000,2568933.12430800
2026-08-29,85911525.30000000,2462310.22662330
2026-08-30,85767578.70000000,2445233.66873700
2026-08-31,81720973.40000000,2195687.28540854
2026-09-01,90310495.10000000,2408551.10185362
2026-09-02,93679832.30000000,2472835.61887844
2026-09-03,94627032.40000000,2541682.09026400
2026-09-04,92992743.80000000,2564405.10012632
2026-09-05,94532146.20000000,2641140.24993203
2026-09-06,93286053.90000000,2690288.63560911
2026-09-07,95562164.80000000,2827684.45643200
2026-09-08,94913265.60000000,2714512.75223141
2026-09-09,94067559.20000000,2699738.94904000
2026-09-10,90225584.00000000,2525414.09616000
2026-09-11,87865962.90000000,2407000.18768260
2026-09-12,86332248.10000000,2387816.16746145
2026-09-13,87410694.90000000,2427861.77048377
2026-09-14,87791538.70000000,2531629.67693032
2026-09-15,84265401.70000000,2365329.82571900
2026-09-16,83242444.70000000,2200930.23786800
2026-09-17,82790960.70000000,2202239.55462000
2026-09-18,85292339.30000000,2525506.16667300
2026-09-19,83114784.20000000,2507573.03931400
2026-09-20,79926609.10000000,2437761.57755000
2026-09-21,77890575.20000000,2336717.25600000
2026-09-22,80611135.20000000,2674778.22985500
2026-09-23,79423956.60000000,2570953.47514200
2026-09-24,89560122.00000000,2810396.62836000
2026-09-25,89159464.10000000,2844186.90479000
2026-09-26,106747093.80000000,3327306.91374600
