symbol,date_utc,close,prev_close,change_pct,quote_volume,quote_volume_30d_median,funding_rate_last,open_interest,long_short_ratio
SKYUSDT,2026-09-23,0.06997000,0.06929000,0.9814,7869211.11034000,1469063.92,0.00005000,16325150.57924166,0.9759
SOLUSDT,2026-09-23,114.99000000,118.57000000,-3.0193,420981927.35118000,230400059.03,0.00001129,927655724.45840000,1.8539
SUIUSDT,2026-09-23,0.96010000,1.02360000,-6.2036,114067847.02944000,57449092.36,0.00005315,126024434.97040000,2.4247
SUSDT,2026-09-23,0.04017000,0.04335000,-7.3356,3148759.37381900,1006515.54,0.00003232,5106541.40433000,1.3111
SUSHIUSDT,2026-09-23,0.24600000,0.26680000,-7.7961,2485859.89527000,902539.93,0.00010000,3821137.23860000,1.5826
THETAUSDT,2026-09-23,0.21430000,0.23200000,-7.6293,1179074.65749000,613504.25,0.00010000,2971341.92156000,1.4944
TIAUSDT,2026-09-23,0.46100000,0.52070000,-11.4653,13506488.70592400,2956292.19,0.00004620,15469601.82750000,2.1626
TRXUSDT,2026-09-23,0.34220000,0.34210000,0.0292,39796512.82649000,32024236.46,-0.00001632,99970308.30600000,1.1128
UMAUSDT,2026-09-23,0.38900000,0.41800000,-6.9378,454165.68290000,220674.71,0.00005000,1403437.83780000,2.1817
UNIUSDT,2026-09-23,9.24200000,10.22600000,-9.6225,195413330.16936000,64712834.38,0.00004503,244661289.02600000,1.8694
VETUSDT,2026-09-23,0.00879700,0.00929500,-5.3577,3797549.19062240,2004031.36,0.00003683,6192331.10895300,1.7685
XLMUSDT,2026-09-23,0.20210000,0.21620000,-6.5217,37720881.86590000,15057060.69,0.00010000,51045444.84445440,1.4931
XMRUSDT,2026-09-23,554.26,575.08,-3.6204,63032063.59336,56180019.24,0.00010000,51076179.71372000,1.2080
XRPUSDT,2026-09-23,1.50100000,1.57270000,-4.5590,499673407.45481000,210405006.81,-0.00004943,490068480.08387935,2.3003
XTZUSDT,2026-09-23,0.32480000,0.34740000,-6.5055,1353309.95319000,701685.93,-0.00004284,4750520.02312000,1.2528
YFIUSDT,2026-09-23,2313.00000000,2359.00000000,-1.9500,523387.75085000,285911.40,0.00010000,2253690.70000000,2.1407
ZECUSDT,2026-09-23,1498.26000000,1630.05000000,-8.0850,652883435.57214000,261881362.89,0.00010000,674008595.03600000,0.5605
ZENUSDT,2026-09-23,7.16500000,8.16700000,-12.2689,10874843.90273000,6510068.00,0.00000782,9507387.35633500,0.7443
ZILUSDT,2026-09-23,0.00361600,0.00388800,-6.9959,1299022.29055630,500035.40,-0.00006998,4244310.28638430,1.2852
