funding_time_ms,interval_hours,rate
1739116800000,8,0.00007080
1739145600000,8,0.00010000
1739174400000,8,0.00010000
1739203200000,8,0.00010000
1739232000000,8,0.00007881
1739260800000,8,0.00006317
1739289600000,8,0.00008323
1739318400000,8,0.00001672
1739347200000,8,0.00005784
1739376000001,8,0.00005216
1739404800001,8,0.00004216
1739433600000,8,0.00006818
1739462400001,8,0.00009873
1739491200000,8,0.00005204
1739520000001,8,0.00010000
1739548800000,8,0.00008676
1739577600000,8,-0.00003222
1739606400000,8,0.00004082
1739635200000,8,0.00007493
1739664000000,8,0.00010000
1739692800000,8,0.00003031
1739721600000,8,-0.00094971
1739750400000,8,-0.00076201
1739779200000,8,-0.00032607
1739808000000,8,0.00001080
1739836800000,8,-0.00162193
1739865600000,8,-0.00714435
1739894400000,8,-0.00689325
1739923200000,8,-0.00242185
1739952000000,8,-0.00230097
1739980800000,8,-0.00129291
1740009600000,8,-0.00043054
1740038400000,8,-0.00024212
1740067200000,8,-0.00027656
1740096000001,8,-0.00037664
1740124800000,8,-0.00050983
1740153600000,8,-0.00023142
1740182400000,8,0.00009809
1740211200000,8,-0.00024826
1740240000000,8,-0.00031728
1740268800000,8,-0.00032774
1740297600000,8,-0.00046781
1740326400000,8,0.00002967
1740355200000,8,-0.00030184
1740384000000,8,-0.00021314
1740412800000,8,-0.00009251
1740441600000,8,-0.00015764
1740470400000,8,-0.00000631
1740499200000,8,-0.00016217
1740528000000,8,-0.00017410
1740556800000,8,-0.00028832
1740585600000,8,-0.00017628
1740614400001,8,-0.00018914
1740643200000,8,-0.00016266
1740672000000,8,0.00003668
1740700800001,8,0.00006109
1740729600000,8,0.00002219
1740758400000,8,-0.00008434
1740787200000,8,-0.00010043
1740816000000,8,0.00010000
1740844800001,8,0.00005765
1740873600000,8,0.00005067
1740902400000,8,0.00004690
1740931200000,8,0.00001689
1740960000001,8,0.00007346
1740988800000,8,-0.00007184
1741017600000,8,-0.00006736
1741046400001,8,0.00002078
1741075200005,8,0.00005445
1741104000000,8,0.00006899
1741132800000,8,-0.00002066
1741161600000,8,0.00010000
1741190400000,8,0.00007779
1741219200000,8,0.00010000
1741248000001,8,0.00008069
1741276800000,8,0.00001132
1741305600000,8,0.00001420
1741334400001,8,0.00008143
1741363200000,8,0.00005787
1741392000000,8,-0.00026158
1741420800001,8,-0.00014869
1741449600001,8,0.00004432
1741478400001,8,0.00007792
1741507200000,8,0.00007220
1741536000000,8,0.00010000
1741564800000,8,0.00005009
1741593600000,8,0.00003797
1741622400000,8,0.00007425
1741651200000,8,0.00005904
1741680000000,8,0.00007701
1741708800001,8,0.00010000
1741737600000,8,0.00010000
1741766400000,8,0.00009318
1741795200001,8,0.00007957
1741824000000,8,0.00009008
1741852800000,8,0.00000887
1741881600000,8,0.00004451
1741910400000,8,0.00006862
1741939200000,8,0.00009836
1741968000000,8,0.00010000
1741996800000,8,-0.00001424
1742025600000,8,0.00009304
1742054400000,8,0.00008430
1742083200000,8,0.00006858
1742112000000,8,0.00003957
1742140800000,8,0.00001699
1742169600000,8,0.00001171
1742198400000,8,0.00010000
1742227200000,8,0.00008072
1742256000000,8,0.00010000
1742284800000,8,0.00002365
1742313600000,8,0.00007888
1742342400000,8,0.00003725
1742371200000,8,0.00006653
1742400000000,8,0.00005136
1742428800000,8,0.00010000
1742457600000,8,0.00008647
1742486400000,8,0.00005629
1742515200000,8,-0.00037358
1742544000000,8,-0.00079338
1742572800000,8,-0.00197527
1742601600000,8,-0.00153361
1742630400004,8,-0.00035890
1742659200000,8,-0.00045783
1742688000000,8,-0.00036577
1742716800000,8,-0.00053978
1742745600000,8,-0.00043532
1742774400000,8,-0.00008500
1742803200000,8,0.00002426
1742832000000,8,-0.00021645
1742860800001,8,-0.00003493
1742889600000,8,-0.00014741
1742918400000,8,-0.00017463
1742947200000,8,-0.00017000
1742976000000,8,-0.00005894
1743004800001,8,-0.00018422
1743033600001,8,-0.00004645
1743062400001,8,0.00000478
1743091200002,8,-0.00002053
1743120000001,8,0.00003689
1743148800001,8,0.00007885
1743177600000,8,0.00007016
1743206400000,8,-0.00000556
1743235200000,8,0.00007458
