date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.2517,0.5559,0.4441
2026-08-26,1.2655,0.5586,0.4414
2026-08-27,1.2815,0.5617,0.4383
2026-08-28,1.3524,0.5749,0.4251
2026-08-29,1.2889,0.5631,0.4369
2026-08-30,1.2242,0.5504,0.4496
2026-08-31,1.2821,0.5618,0.4382
2026-09-01,1.2533,0.5562,0.4438
2026-09-02,1.1949,0.5444,0.4556
2026-09-03,1.1349,0.5316,0.4684
2026-09-04,1.1720,0.5396,0.4604
2026-09-05,1.2789,0.5612,0.4388
2026-09-06,1.2989,0.5650,0.4350
2026-09-07,1.3815,0.5801,0.4199
2026-09-08,1.3191,0.5688,0.4312
2026-09-09,1.3480,0.5741,0.4259
2026-09-10,1.2868,0.5627,0.4373
2026-09-11,1.3026,0.5657,0.4343
2026-09-12,1.3815,0.5801,0.4199
2026-09-13,1.3872,0.5811,0.4189
2026-09-14,1.3691,0.5779,0.4221
2026-09-15,1.4588,0.5933,0.4067
2026-09-16,1.4540,0.5925,0.4075
2026-09-17,1.2381,0.5532,0.4468
2026-09-18,1.4062,0.5844,0.4156
2026-09-19,1.4096,0.5850,0.4150
2026-09-20,1.4963,0.5994,0.4006
2026-09-21,1.4540,0.5925,0.4075
2026-09-22,1.5419,0.6066,0.3934
2026-09-23,1.4832,0.5973,0.4027
2026-09-24,1.4740,0.5958,0.4042
