date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.8337,0.6471,0.3529
2026-08-26,1.9214,0.6577,0.3423
2026-08-27,2.0057,0.6673,0.3327
2026-08-28,1.9789,0.6643,0.3357
2026-08-29,1.8193,0.6453,0.3547
2026-08-30,1.5272,0.6043,0.3957
2026-08-31,1.5000,0.6000,0.4000
2026-09-01,1.4528,0.5923,0.4077
2026-09-02,1.5329,0.6052,0.3948
2026-09-03,1.6110,0.6170,0.3830
2026-09-04,1.6889,0.6281,0.3719
2026-09-05,1.6767,0.6264,0.3736
2026-09-06,1.6123,0.6172,0.3828
2026-09-07,1.6028,0.6158,0.3842
2026-09-08,1.7556,0.6371,0.3629
2026-09-09,1.5549,0.6086,0.3914
2026-09-10,1.5934,0.6144,0.3856
2026-09-11,1.6539,0.6232,0.3768
2026-09-12,1.5595,0.6093,0.3907
2026-09-13,1.4722,0.5955,0.4045
2026-09-14,1.5967,0.6149,0.3851
2026-09-15,1.5189,0.6030,0.3970
2026-09-16,1.3889,0.5814,0.4186
2026-09-17,1.2655,0.5586,0.4414
2026-09-18,1.1515,0.5352,0.4648
2026-09-19,1.3310,0.5710,0.4290
2026-09-20,1.9762,0.6640,0.3360
2026-09-21,1.5304,0.6048,0.3952
2026-09-22,1.2852,0.5624,0.4376
2026-09-23,1.1711,0.5394,0.4606
2026-09-24,1.2528,0.5561,0.4439
2026-09-25,1.2712,0.5597,0.4403
