date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.4558,0.5928,0.4072
2026-08-26,1.4963,0.5994,0.4006
2026-08-27,1.6103,0.6169,0.3831
2026-08-28,1.6759,0.6263,0.3737
2026-08-29,1.6476,0.6223,0.3777
2026-08-30,1.6205,0.6184,0.3816
2026-08-31,1.8011,0.6430,0.3570
2026-09-01,1.8035,0.6433,0.3567
2026-09-02,1.8877,0.6537,0.3463
2026-09-03,1.6838,0.6274,0.3726
2026-09-04,1.6378,0.6209,0.3791
2026-09-05,1.6976,0.6293,0.3707
2026-09-06,1.6420,0.6215,0.3785
2026-09-07,1.6998,0.6296,0.3704
2026-09-08,1.7556,0.6371,0.3629
2026-09-09,1.6896,0.6282,0.3718
2026-09-10,1.6344,0.6204,0.3796
2026-09-11,1.6048,0.6161,0.3839
2026-09-12,1.6042,0.6160,0.3840
2026-09-13,1.5484,0.6076,0.3924
2026-09-14,1.5589,0.6092,0.3908
2026-09-15,1.6434,0.6217,0.3783
2026-09-16,1.4826,0.5972,0.4028
2026-09-17,1.4396,0.5901,0.4099
2026-09-18,1.5310,0.6049,0.3951
2026-09-19,1.4981,0.5997,0.4003
2026-09-20,1.6035,0.6159,0.3841
2026-09-21,1.4637,0.5941,0.4059
2026-09-22,1.5132,0.6021,0.3979
2026-09-23,1.5927,0.6143,0.3857
2026-09-24,1.5893,0.6138,0.3862
2026-09-25,1.5484,0.6076,0.3924
