date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.3397,0.5726,0.4274
2026-08-26,1.4390,0.5900,0.4100
2026-08-27,1.3929,0.5821,0.4179
2026-08-28,1.4172,0.5863,0.4137
2026-08-29,1.4438,0.5908,0.4092
2026-08-30,1.5176,0.6028,0.3972
2026-08-31,1.4349,0.5893,0.4107
2026-09-01,1.4295,0.5884,0.4116
2026-09-02,1.4498,0.5918,0.4082
2026-09-03,1.3458,0.5737,0.4263
2026-09-04,1.3386,0.5724,0.4276
2026-09-05,1.3906,0.5817,0.4183
2026-09-06,1.4691,0.5950,0.4050
2026-09-07,1.4450,0.5910,0.4090
2026-09-08,1.3714,0.5783,0.4217
2026-09-09,1.4765,0.5962,0.4038
2026-09-10,1.4091,0.5849,0.4151
2026-09-11,1.3708,0.5782,0.4218
2026-09-12,1.4845,0.5975,0.4025
2026-09-13,1.3872,0.5811,0.4189
2026-09-14,1.5648,0.6101,0.3899
2026-09-15,1.5221,0.6035,0.3965
2026-09-16,1.4492,0.5917,0.4083
2026-09-17,1.3447,0.5735,0.4265
2026-09-18,1.3646,0.5771,0.4229
2026-09-19,1.4331,0.5890,0.4110
2026-09-20,1.4845,0.5975,0.4025
2026-09-21,1.4510,0.5920,0.4080
2026-09-22,1.5088,0.6014,0.3986
2026-09-23,1.4814,0.5970,0.4030
2026-09-24,1.4944,0.5991,0.4009
2026-09-25,1.4516,0.5921,0.4079
2026-09-26,1.4504,0.5919,0.4081
