date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.3987,0.5831,0.4169
2026-08-26,1.3901,0.5816,0.4184
2026-08-27,1.4295,0.5884,0.4116
2026-08-28,1.6219,0.6186,0.3814
2026-08-29,1.4073,0.5846,0.4154
2026-08-30,1.8523,0.6494,0.3506
2026-08-31,1.8090,0.6440,0.3560
2026-09-01,1.5202,0.6032,0.3968
2026-09-02,1.6021,0.6157,0.3843
2026-09-03,2.0647,0.6737,0.3263
2026-09-04,2.0276,0.6697,0.3303
2026-09-05,1.6867,0.6278,0.3722
2026-09-06,1.9516,0.6612,0.3388
2026-09-07,2.1696,0.6845,0.3155
2026-09-08,2.3445,0.7010,0.2990
2026-09-09,2.0941,0.6768,0.3232
2026-09-10,1.7027,0.6300,0.3700
2026-09-11,1.7693,0.6389,0.3611
2026-09-12,1.7137,0.6315,0.3685
2026-09-13,1.4516,0.5921,0.4079
2026-09-14,1.2351,0.5526,0.4474
2026-09-15,1.3579,0.5759,0.4241
2026-09-16,0.9508,0.4874,0.5126
2026-09-17,0.9268,0.4810,0.5190
2026-09-18,0.9106,0.4766,0.5234
2026-09-19,1.1249,0.5294,0.4706
2026-09-20,1.2277,0.5511,0.4489
2026-09-21,1.1286,0.5302,0.4698
2026-09-22,1.2738,0.5602,0.4398
2026-09-23,1.2691,0.5593,0.4407
2026-09-24,1.2878,0.5629,0.4371
2026-09-25,1.7189,0.6322,0.3678
2026-09-26,1.9481,0.6608,0.3392
