date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.6738,0.6260,0.3740
2026-08-26,1.4722,0.5955,0.4045
2026-08-27,1.4120,0.5854,0.4146
2026-08-28,1.4301,0.5885,0.4115
2026-08-29,1.3116,0.5674,0.4326
2026-08-30,1.3646,0.5771,0.4229
2026-08-31,1.3010,0.5654,0.4346
2026-09-01,1.1650,0.5381,0.4619
2026-09-02,1.2381,0.5532,0.4468
2026-09-03,1.3148,0.5680,0.4320
2026-09-04,1.4155,0.5860,0.4140
2026-09-05,1.4679,0.5948,0.4052
2026-09-06,1.5374,0.6059,0.3941
2026-09-07,1.5813,0.6126,0.3874
2026-09-08,1.6518,0.6229,0.3771
2026-09-09,1.7594,0.6376,0.3624
2026-09-10,1.3730,0.5786,0.4214
2026-09-11,1.2311,0.5518,0.4482
2026-09-12,1.2282,0.5512,0.4488
2026-09-13,1.2952,0.5643,0.4357
2026-09-14,1.3116,0.5674,0.4326
2026-09-15,1.2517,0.5559,0.4441
2026-09-16,1.2487,0.5553,0.4447
2026-09-17,1.2665,0.5588,0.4412
2026-09-18,1.3646,0.5771,0.4229
2026-09-19,1.7196,0.6323,0.3677
2026-09-20,1.6681,0.6252,0.3748
2026-09-21,1.6674,0.6251,0.3749
2026-09-22,1.9231,0.6579,0.3421
2026-09-23,2.0276,0.6697,0.3303
2026-09-24,1.8474,0.6488,0.3512
2026-09-25,1.9036,0.6556,0.3444
2026-09-26,2.1056,0.6780,0.3220
