date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.7996,0.6428,0.3572
2026-08-26,1.8760,0.6523,0.3477
2026-08-27,2.0111,0.6679,0.3321
2026-08-28,1.9394,0.6598,0.3402
2026-08-29,1.9586,0.6620,0.3380
2026-08-30,1.8185,0.6452,0.3548
2026-08-31,1.8441,0.6484,0.3516
2026-09-01,1.6983,0.6294,0.3706
2026-09-02,1.7108,0.6311,0.3689
2026-09-03,1.8653,0.6510,0.3490
2026-09-04,1.8265,0.6462,0.3538
2026-09-05,1.7709,0.6391,0.3609
2026-09-06,1.7174,0.6320,0.3680
2026-09-07,1.5920,0.6142,0.3858
2026-09-08,1.5846,0.6131,0.3869
2026-09-09,1.6817,0.6271,0.3729
2026-09-10,1.7988,0.6427,0.3573
2026-09-11,1.5361,0.6057,0.3943
2026-09-12,1.5608,0.6095,0.3905
2026-09-13,1.6015,0.6156,0.3844
2026-09-14,1.5278,0.6044,0.3956
2026-09-15,1.6089,0.6167,0.3833
2026-09-16,1.5760,0.6118,0.3882
2026-09-17,1.5694,0.6108,0.3892
2026-09-18,1.6961,0.6291,0.3709
2026-09-19,1.6560,0.6235,0.3765
2026-09-20,1.8450,0.6485,0.3515
2026-09-21,1.8571,0.6500,0.3500
2026-09-22,1.9189,0.6574,0.3426
2026-09-23,2.1182,0.6793,0.3207
2026-09-24,1.8969,0.6548,0.3452
2026-09-25,1.7064,0.6305,0.3695
