date_utc,long_short_ratio,long_account,short_account
2026-08-25,2.0921,0.6766,0.3234
2026-08-26,2.0722,0.6745,0.3255
2026-08-27,1.9630,0.6625,0.3375
2026-08-28,2.1270,0.6802,0.3198
2026-08-29,2.0012,0.6668,0.3332
2026-08-30,2.0779,0.6751,0.3249
2026-08-31,2.1397,0.6815,0.3185
2026-09-01,1.8736,0.6520,0.3480
2026-09-02,2.0139,0.6682,0.3318
2026-09-03,1.7902,0.6416,0.3584
2026-09-04,2.0349,0.6705,0.3295
2026-09-05,2.1980,0.6873,0.3127
2026-09-06,2.2154,0.6890,0.3110
2026-09-07,2.3501,0.7015,0.2985
2026-09-08,2.6846,0.7286,0.2714
2026-09-09,2.5587,0.7190,0.2810
2026-09-10,2.5625,0.7193,0.2807
2026-09-11,2.5702,0.7199,0.2801
2026-09-12,2.0039,0.6671,0.3329
2026-09-13,1.6546,0.6233,0.3767
2026-09-14,1.6645,0.6247,0.3753
2026-09-15,1.8003,0.6429,0.3571
2026-09-16,1.8321,0.6469,0.3531
2026-09-17,1.7640,0.6382,0.3618
2026-09-18,2.2051,0.6880,0.3120
2026-09-19,2.7622,0.7342,0.2658
2026-09-20,2.4471,0.7099,0.2901
2026-09-21,2.2020,0.6877,0.3123
2026-09-22,2.2103,0.6885,0.3115
2026-09-23,2.2175,0.6892,0.3108
2026-09-24,2.3456,0.7011,0.2989
