date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.5880,0.6136,0.3864
2026-08-26,1.6774,0.6265,0.3735
2026-08-27,1.5170,0.6027,0.3973
2026-08-28,1.5634,0.6099,0.3901
2026-08-29,1.3832,0.5804,0.4196
2026-08-30,1.3288,0.5706,0.4294
2026-08-31,1.2810,0.5616,0.4384
2026-09-01,1.2630,0.5581,0.4419
2026-09-02,1.3815,0.5801,0.4199
2026-09-03,1.5246,0.6039,0.3961
2026-09-04,1.5720,0.6112,0.3888
2026-09-05,1.4015,0.5836,0.4164
2026-09-06,1.5132,0.6021,0.3979
2026-09-07,1.5471,0.6074,0.3926
2026-09-08,1.5265,0.6042,0.3958
2026-09-09,1.4331,0.5890,0.4110
2026-09-10,1.3397,0.5726,0.4274
2026-09-11,1.1844,0.5422,0.4578
2026-09-12,1.2297,0.5515,0.4485
2026-09-13,1.4492,0.5917,0.4083
2026-09-14,1.4372,0.5897,0.4103
2026-09-15,1.3987,0.5831,0.4169
2026-09-16,1.1327,0.5311,0.4689
2026-09-17,1.0978,0.5233,0.4767
2026-09-18,1.1432,0.5334,0.4666
2026-09-19,1.4845,0.5975,0.4025
2026-09-20,1.6274,0.6194,0.3806
2026-09-21,1.5176,0.6028,0.3972
2026-09-22,2.1776,0.6853,0.3147
2026-09-23,2.3887,0.7049,0.2951
2026-09-24,1.6817,0.6271,0.3729
2026-09-25,1.6021,0.6157,0.3843
