date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.5063,0.6010,0.3990
2026-08-26,1.5954,0.6147,0.3853
2026-08-27,1.5400,0.6063,0.3937
2026-08-28,1.5747,0.6116,0.3884
2026-08-29,1.6205,0.6184,0.3816
2026-08-30,1.5853,0.6132,0.3868
2026-08-31,1.5793,0.6123,0.3877
2026-09-01,1.5019,0.6003,0.3997
2026-09-02,1.4558,0.5928,0.4072
2026-09-03,1.5202,0.6032,0.3968
2026-09-04,1.5394,0.6062,0.3938
2026-09-05,1.3186,0.5687,0.4313
2026-09-06,1.4704,0.5952,0.4048
2026-09-07,1.4594,0.5934,0.4066
2026-09-08,1.2665,0.5588,0.4412
2026-09-09,1.1758,0.5404,0.4596
2026-09-10,1.1575,0.5365,0.4635
2026-09-11,1.1915,0.5437,0.4563
2026-09-12,1.1901,0.5434,0.4566
2026-09-13,1.1920,0.5438,0.4562
2026-09-14,1.3747,0.5789,0.4211
2026-09-15,1.1664,0.5384,0.4616
2026-09-16,0.9948,0.4987,0.5013
2026-09-17,1.1645,0.5380,0.4620
2026-09-18,1.4402,0.5902,0.4098
2026-09-19,1.6076,0.6165,0.3835
2026-09-20,1.6364,0.6207,0.3793
2026-09-21,1.5974,0.6150,0.3850
2026-09-22,1.6596,0.6240,0.3760
2026-09-23,1.5846,0.6131,0.3869
2026-09-24,1.5826,0.6128,0.3872
2026-09-25,1.4740,0.5958,0.4042
2026-09-26,1.4643,0.5942,0.4058
