date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.7211,0.6325,0.3675
2026-08-26,1.5707,0.6110,0.3890
2026-08-27,1.4963,0.5994,0.4006
2026-08-28,1.3804,0.5799,0.4201
2026-08-29,1.3180,0.5686,0.4314
2026-08-30,1.3408,0.5728,0.4272
2026-08-31,1.2925,0.5638,0.4362
2026-09-01,1.2676,0.5590,0.4410
2026-09-02,1.3315,0.5711,0.4289
2026-09-03,1.4284,0.5882,0.4118
2026-09-04,1.2769,0.5608,0.4392
2026-09-05,1.1668,0.5385,0.4615
2026-09-06,1.3946,0.5824,0.4176
2026-09-07,1.0475,0.5116,0.4884
2026-09-08,1.2482,0.5552,0.4448
2026-09-09,1.2411,0.5538,0.4462
2026-09-10,1.2306,0.5517,0.4483
2026-09-11,1.2784,0.5611,0.4389
2026-09-12,1.4219,0.5871,0.4129
2026-09-13,1.2946,0.5642,0.4358
2026-09-14,1.2910,0.5635,0.4365
2026-09-15,1.2671,0.5589,0.4411
2026-09-16,1.1853,0.5424,0.4576
2026-09-17,1.5674,0.6105,0.3895
2026-09-18,1.7322,0.6340,0.3660
2026-09-19,1.6330,0.6202,0.3798
2026-09-20,1.3912,0.5818,0.4182
2026-09-21,1.6035,0.6159,0.3841
2026-09-22,1.4734,0.5957,0.4043
2026-09-23,1.3068,0.5665,0.4335
2026-09-24,1.4313,0.5887,0.4113
2026-09-25,1.3810,0.5800,0.4200
2026-09-26,1.3229,0.5695,0.4305
