date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.1473,0.5343,0.4657
2026-08-26,1.1844,0.5422,0.4578
2026-08-27,1.2769,0.5608,0.4392
2026-08-28,1.3321,0.5712,0.4288
2026-08-29,1.2952,0.5643,0.4357
2026-08-30,1.3952,0.5825,0.4175
2026-08-31,1.4301,0.5885,0.4115
2026-09-01,1.4931,0.5989,0.4011
2026-09-02,1.5316,0.6050,0.3950
2026-09-03,1.5667,0.6104,0.3896
2026-09-04,1.6483,0.6224,0.3776
2026-09-05,1.6759,0.6263,0.3737
2026-09-06,1.8121,0.6444,0.3556
2026-09-07,1.8129,0.6445,0.3555
2026-09-08,1.8145,0.6447,0.3553
2026-09-09,2.0057,0.6673,0.3327
2026-09-10,1.9638,0.6626,0.3374
2026-09-11,1.8385,0.6477,0.3523
2026-09-12,1.8241,0.6459,0.3541
2026-09-13,1.9206,0.6576,0.3424
2026-09-14,2.0921,0.6766,0.3234
2026-09-15,1.9709,0.6634,0.3366
2026-09-16,1.9360,0.6594,0.3406
2026-09-17,1.5720,0.6112,0.3888
2026-09-18,0.9448,0.4858,0.5142
2026-09-19,1.0012,0.5003,0.4997
2026-09-20,0.9033,0.4746,0.5254
2026-09-21,1.1164,0.5275,0.4725
2026-09-22,1.0820,0.5197,0.4803
2026-09-23,1.0442,0.5108,0.4892
2026-09-24,0.8282,0.4530,0.5470
2026-09-25,1.0934,0.5223,0.4777
