date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.6596,0.6240,0.3760
2026-08-26,1.5145,0.6023,0.3977
2026-08-27,1.3929,0.5821,0.4179
2026-08-28,1.5465,0.6073,0.3927
2026-08-29,1.3657,0.5773,0.4227
2026-08-30,1.3524,0.5749,0.4251
2026-08-31,1.5278,0.6044,0.3956
2026-09-01,1.4795,0.5967,0.4033
2026-09-02,1.7941,0.6421,0.3579
2026-09-03,1.5221,0.6035,0.3965
2026-09-04,1.5050,0.6008,0.3992
2026-09-05,1.8003,0.6429,0.3571
2026-09-06,2.0497,0.6721,0.3279
2026-09-07,2.2992,0.6969,0.3031
2026-09-08,2.0600,0.6732,0.3268
2026-09-09,2.0826,0.6756,0.3244
2026-09-10,1.8752,0.6522,0.3478
2026-09-11,2.1576,0.6833,0.3167
2026-09-12,2.0084,0.6676,0.3324
2026-09-13,1.6589,0.6239,0.3761
2026-09-14,1.4337,0.5891,0.4109
2026-09-15,1.5981,0.6151,0.3849
2026-09-16,1.7670,0.6386,0.3614
2026-09-17,1.8058,0.6436,0.3564
2026-09-18,1.6062,0.6163,0.3837
2026-09-19,1.4570,0.5930,0.4070
2026-09-20,1.4184,0.5865,0.4135
2026-09-21,1.7571,0.6373,0.3627
2026-09-22,1.7886,0.6414,0.3586
2026-09-23,1.6427,0.6216,0.3784
2026-09-24,1.7693,0.6389,0.3611
2026-09-25,1.6212,0.6185,0.3815
