date_utc,long_short_ratio,long_account,short_account
2026-08-25,2.0423,0.6713,0.3287
2026-08-26,1.9446,0.6604,0.3396
2026-08-27,1.8860,0.6535,0.3465
2026-08-28,2.0349,0.6705,0.3295
2026-08-29,1.9542,0.6615,0.3385
2026-08-30,1.8860,0.6535,0.3465
2026-08-31,1.9248,0.6581,0.3419
2026-09-01,1.7785,0.6401,0.3599
2026-09-02,2.0093,0.6677,0.3323
2026-09-03,2.1586,0.6834,0.3166
2026-09-04,2.3069,0.6976,0.3024
2026-09-05,1.8547,0.6497,0.3503
2026-09-06,2.3256,0.6993,0.3007
2026-09-07,2.4868,0.7132,0.2868
2026-09-08,2.3267,0.6994,0.3006
2026-09-09,2.0609,0.6733,0.3267
2026-09-10,2.1270,0.6802,0.3198
2026-09-11,2.4060,0.7064,0.2936
2026-09-12,2.3333,0.7000,0.3000
2026-09-13,2.2531,0.6926,0.3074
2026-09-14,2.1959,0.6871,0.3129
2026-09-15,2.1037,0.6778,0.3222
2026-09-16,1.9036,0.6556,0.3444
2026-09-17,1.9833,0.6648,0.3352
2026-09-18,2.1319,0.6807,0.3193
2026-09-19,2.0553,0.6727,0.3273
2026-09-20,1.6969,0.6292,0.3708
2026-09-21,1.7910,0.6417,0.3583
2026-09-22,1.8514,0.6493,0.3507
2026-09-23,1.7586,0.6375,0.3625
2026-09-24,1.6469,0.6222,0.3778
2026-09-25,1.6455,0.6220,0.3780
