date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.4685,0.5949,0.4051
2026-08-26,1.3326,0.5713,0.4287
2026-08-27,1.0559,0.5136,0.4864
2026-08-28,1.1358,0.5318,0.4682
2026-08-29,0.9853,0.4963,0.5037
2026-08-30,1.1993,0.5453,0.4547
2026-08-31,1.5189,0.6030,0.3970
2026-09-01,1.4802,0.5968,0.4032
2026-09-02,1.4907,0.5985,0.4015
2026-09-03,1.3441,0.5734,0.4266
2026-09-04,1.3557,0.5755,0.4245
2026-09-05,1.4894,0.5983,0.4017
2026-09-06,1.1949,0.5444,0.4556
2026-09-07,1.3849,0.5807,0.4193
2026-09-08,1.2568,0.5569,0.4431
2026-09-09,1.2904,0.5634,0.4366
2026-09-10,1.3646,0.5771,0.4229
2026-09-11,1.2401,0.5536,0.4464
2026-09-12,1.2406,0.5537,0.4463
2026-09-13,1.0864,0.5207,0.4793
2026-09-14,1.0429,0.5105,0.4895
2026-09-15,1.0500,0.5122,0.4878
2026-09-16,0.9654,0.4912,0.5088
2026-09-17,1.2022,0.5459,0.4541
2026-09-18,1.3463,0.5738,0.4262
2026-09-19,1.0375,0.5092,0.4908
2026-09-20,0.9984,0.4996,0.5004
2026-09-21,0.8979,0.4731,0.5269
2026-09-22,0.9395,0.4844,0.5156
2026-09-23,0.9822,0.4955,0.5045
2026-09-24,0.9964,0.4991,0.5009
2026-09-25,0.9172,0.4784,0.5216
2026-09-26,1.0008,0.5002,0.4998
