date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.3518,0.5748,0.4252
2026-08-26,1.2978,0.5648,0.4352
2026-08-27,1.3294,0.5707,0.4293
2026-08-28,1.6001,0.6154,0.3846
2026-08-29,1.6903,0.6283,0.3717
2026-08-30,1.6631,0.6245,0.3755
2026-08-31,1.6042,0.6160,0.3840
2026-09-01,1.6998,0.6296,0.3704
2026-09-02,1.4944,0.5991,0.4009
2026-09-03,1.4319,0.5888,0.4112
2026-09-04,1.3663,0.5774,0.4226
2026-09-05,1.4402,0.5902,0.4098
2026-09-06,1.4956,0.5993,0.4007
2026-09-07,1.5961,0.6148,0.3852
2026-09-08,1.4546,0.5926,0.4074
2026-09-09,1.3397,0.5726,0.4274
2026-09-10,1.3452,0.5736,0.4264
2026-09-11,1.3004,0.5653,0.4347
2026-09-12,1.3964,0.5827,0.4173
2026-09-13,1.3918,0.5819,0.4181
2026-09-14,1.3918,0.5819,0.4181
2026-09-15,1.3798,0.5798,0.4202
2026-09-16,1.4631,0.5940,0.4060
2026-09-17,1.4594,0.5934,0.4066
2026-09-18,1.5517,0.6081,0.3919
2026-09-19,2.0441,0.6715,0.3285
2026-09-20,1.8225,0.6457,0.3543
2026-09-21,1.6695,0.6254,0.3746
2026-09-22,1.5419,0.6066,0.3934
2026-09-23,1.5240,0.6038,0.3962
2026-09-24,1.8694,0.6515,0.3485
2026-09-25,1.7042,0.6302,0.3698
2026-09-26,1.6767,0.6264,0.3736
