date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.6295,0.6197,0.3803
2026-08-26,1.6261,0.6192,0.3808
2026-08-27,1.6309,0.6199,0.3801
2026-08-28,1.5833,0.6129,0.3871
2026-08-29,1.6008,0.6155,0.3845
2026-08-30,1.4260,0.5878,0.4122
2026-08-31,1.5265,0.6042,0.3958
2026-09-01,1.4378,0.5898,0.4102
2026-09-02,1.6781,0.6266,0.3734
2026-09-03,1.6582,0.6238,0.3762
2026-09-04,1.7322,0.6340,0.3660
2026-09-05,1.6233,0.6188,0.3812
2026-09-06,1.6337,0.6203,0.3797
2026-09-07,1.6413,0.6214,0.3786
2026-09-08,1.6261,0.6192,0.3808
2026-09-09,1.5920,0.6142,0.3858
2026-09-10,1.6316,0.6200,0.3800
2026-09-11,1.6838,0.6274,0.3726
2026-09-12,1.4067,0.5845,0.4155
2026-09-13,1.4361,0.5895,0.4105
2026-09-14,1.4931,0.5989,0.4011
2026-09-15,1.7115,0.6312,0.3688
2026-09-16,1.6838,0.6274,0.3726
2026-09-17,1.3832,0.5804,0.4196
2026-09-18,1.3305,0.5709,0.4291
2026-09-19,1.6702,0.6255,0.3745
2026-09-20,1.6406,0.6213,0.3787
2026-09-21,2.0157,0.6684,0.3316
2026-09-22,1.8058,0.6436,0.3564
2026-09-23,1.6288,0.6196,0.3804
2026-09-24,1.6378,0.6209,0.3791
2026-09-25,1.5221,0.6035,0.3965
