date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.3725,0.5785,0.4215
2026-08-26,1.3787,0.5796,0.4204
2026-08-27,1.3234,0.5696,0.4304
2026-08-28,1.3787,0.5796,0.4204
2026-08-29,1.3557,0.5755,0.4245
2026-08-30,1.3987,0.5831,0.4169
2026-08-31,1.4432,0.5907,0.4093
2026-09-01,1.4010,0.5835,0.4165
2026-09-02,1.4160,0.5861,0.4139
2026-09-03,1.5050,0.6008,0.3992
2026-09-04,1.5510,0.6080,0.3920
2026-09-05,1.4863,0.5978,0.4022
2026-09-06,1.4576,0.5931,0.4069
2026-09-07,1.4390,0.5900,0.4100
2026-09-08,1.3827,0.5803,0.4197
2026-09-09,1.3861,0.5809,0.4191
2026-09-10,1.3895,0.5815,0.4185
2026-09-11,1.3657,0.5773,0.4227
2026-09-12,1.3452,0.5736,0.4264
2026-09-13,1.3889,0.5814,0.4186
2026-09-14,1.4349,0.5893,0.4107
2026-09-15,1.4219,0.5871,0.4129
2026-09-16,1.5323,0.6051,0.3949
2026-09-17,1.3998,0.5833,0.4167
2026-09-18,1.4313,0.5887,0.4113
2026-09-19,1.5056,0.6009,0.3991
2026-09-20,1.3946,0.5824,0.4176
2026-09-21,1.4888,0.5982,0.4018
2026-09-22,1.5323,0.6051,0.3949
2026-09-23,1.5687,0.6107,0.3893
2026-09-24,1.5387,0.6061,0.3939
2026-09-25,1.5088,0.6014,0.3986
2026-09-26,1.6546,0.6233,0.3767
