date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.4056,0.5843,0.4157
2026-08-26,1.4722,0.5955,0.4045
2026-08-27,1.4802,0.5968,0.4032
2026-08-28,1.4994,0.5999,0.4001
2026-08-29,1.4213,0.5870,0.4130
2026-08-30,1.4426,0.5906,0.4094
2026-08-31,1.4558,0.5928,0.4072
2026-09-01,1.4832,0.5973,0.4027
2026-09-02,1.5458,0.6072,0.3928
2026-09-03,1.2462,0.5548,0.4452
2026-09-04,1.2148,0.5485,0.4515
2026-09-05,1.4944,0.5991,0.4009
2026-09-06,1.5278,0.6044,0.3956
2026-09-07,1.4820,0.5971,0.4029
2026-09-08,1.4888,0.5982,0.4018
2026-09-09,1.5394,0.6062,0.3938
2026-09-10,1.6015,0.6156,0.3844
2026-09-11,1.5304,0.6048,0.3952
2026-09-12,1.5740,0.6115,0.3885
2026-09-13,1.5880,0.6136,0.3864
2026-09-14,1.6434,0.6217,0.3783
2026-09-15,1.6199,0.6183,0.3817
2026-09-16,1.5589,0.6092,0.3908
2026-09-17,1.5189,0.6030,0.3970
2026-09-18,1.4207,0.5869,0.4131
2026-09-19,1.4938,0.5990,0.4010
2026-09-20,1.5549,0.6086,0.3914
2026-09-21,1.4456,0.5911,0.4089
2026-09-22,1.4378,0.5898,0.4102
2026-09-23,1.5615,0.6096,0.3904
2026-09-24,1.4777,0.5964,0.4036
2026-09-25,1.5368,0.6058,0.3942
2026-09-26,1.6434,0.6217,0.3783
