date,realized,unrealized,equity,peak,drawdown_pct,open_positions,stopped
2026-09-21,7.38,-1.9988,1005.3812,1007.38,-0.198,3,0
2026-09-22,7.38,8.4911,1015.8711,1015.8711,0.0,3,0
2026-09-23,7.38,-11.5999,995.7801,1015.8711,-1.978,3,0
2026-09-24,7.38,-7.7423,999.6377,1015.8711,-1.598,3,0
