rule,symbol,side,size_usd,entry_date,entry_price,last_date,last_close,funding_usd,pnl_usd
A,AVAXUSDT,long,65.0,2026-09-20,11.288,2026-09-25,10.652,0.0,-3.662296
A,ZECUSDT,long,65.0,2026-09-20,1516.49,2026-09-25,1555.69,0.0,1.680196
A,ZENUSDT,long,65.0,2026-09-20,7.752,2026-09-25,7.718,0.0,-0.285088
